threshold,regime,full,leakage_excluded,delta,n_excluded
0.1,Human (AC decisions),0.9476465024713685,0.8964315112008968,-0.05121499127047169,1568
0.1,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8530293957951122,0.1471648725847322,1568
0.1,Human (score top-N),0.8451488633563383,0.8778569127959366,0.032708049439598263,1568
0.1,LLM Committee (Gemma),1.3966309134201351,1.1786580196906806,-0.2179728937294545,1568
0.1,LLM Decision Head,1.255380010149231,1.0242933646486156,-0.2310866455006153,1568
0.2,Human (AC decisions),0.9476465024713685,0.8991515527573184,-0.048494949714050106,1567
0.2,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8505604288179857,0.1446959056076057,1567
0.2,Human (score top-N),0.8451488633563383,0.8650353612949381,0.019886497938599756,1567
0.2,LLM Committee (Gemma),1.3966309134201351,1.1869752186486857,-0.2096556947714494,1567
0.2,LLM Decision Head,1.255380010149231,1.0250305874746644,-0.2303494226745666,1567
0.3,Human (AC decisions),0.9476465024713685,0.8932359968367699,-0.054410505634598594,1566
0.3,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8402943262449712,0.1344298030345913,1566
0.3,Human (score top-N),0.8451488633563383,0.8756011512261165,0.03045228786977816,1566
0.3,LLM Committee (Gemma),1.3966309134201351,1.1809169922798775,-0.21571392114025767,1566
0.3,LLM Decision Head,1.255380010149231,1.0695493209997915,-0.18583068914943945,1566
0.4,Human (AC decisions),0.9476465024713685,0.8917373409265835,-0.05590916154478498,1565
0.4,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8336058653059162,0.12774134209553623,1565
0.4,Human (score top-N),0.8451488633563383,0.8739366741075422,0.028787810751203846,1565
0.4,LLM Committee (Gemma),1.3966309134201351,1.1775800287065592,-0.21905088471357592,1565
0.4,LLM Decision Head,1.255380010149231,1.0785193325051352,-0.17686067764409574,1565
0.5,Human (AC decisions),0.9476465024713685,0.8906243377481348,-0.05702216472323374,1564
0.5,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8295759831529963,0.12371145994261634,1564
0.5,Human (score top-N),0.8451488633563383,0.8628134280165957,0.017664564660257343,1564
0.5,LLM Committee (Gemma),1.3966309134201351,1.1819725153096339,-0.21465839811050125,1564
0.5,LLM Decision Head,1.255380010149231,1.0708980847455547,-0.18448192540367625,1564
0.6,Human (AC decisions),0.9476465024713685,0.8906243377481348,-0.05702216472323374,1564
0.6,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8295759831529963,0.12371145994261634,1564
0.6,Human (score top-N),0.8451488633563383,0.8628134280165957,0.017664564660257343,1564
0.6,LLM Committee (Gemma),1.3966309134201351,1.1819725153096339,-0.21465839811050125,1564
0.6,LLM Decision Head,1.255380010149231,1.0708980847455547,-0.18448192540367625,1564
0.7,Human (AC decisions),0.9476465024713685,0.8906243377481348,-0.05702216472323374,1564
0.7,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8295759831529963,0.12371145994261634,1564
0.7,Human (score top-N),0.8451488633563383,0.8628134280165957,0.017664564660257343,1564
0.7,LLM Committee (Gemma),1.3966309134201351,1.1819725153096339,-0.21465839811050125,1564
0.7,LLM Decision Head,1.255380010149231,1.0708980847455547,-0.18448192540367625,1564
0.8,Human (AC decisions),0.9476465024713685,0.9009874529946015,-0.04665904947676702,1563
0.8,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8454746617575535,0.13961013854717352,1563
0.8,Human (score top-N),0.8451488633563383,0.9399424756486989,0.09479361229236061,1563
0.8,LLM Committee (Gemma),1.3966309134201351,1.1889817941208316,-0.20764911929930352,1563
0.8,LLM Decision Head,1.255380010149231,1.082161173300968,-0.173218836848263,1563
0.9,Human (AC decisions),0.9476465024713685,0.9009874529946015,-0.04665904947676702,1563
0.9,"Human (disagreement-adjusted, λ=+1)",0.70586452321038,0.8454746617575535,0.13961013854717352,1563
0.9,Human (score top-N),0.8451488633563383,0.9399424756486989,0.09479361229236061,1563
0.9,LLM Committee (Gemma),1.3966309134201351,1.1889817941208316,-0.20764911929930352,1563
0.9,LLM Decision Head,1.255380010149231,1.082161173300968,-0.173218836848263,1563
